tool,variant,r_squared,r_squared_log,pearson_r,spearman_r,compute_time_s,n_matched,peak_memory_mb,segments_per_sec
cityseer,shortest_200m,0.55831973898858,0.5574034302013369,0.7472079623428678,0.8660254037844387,11.59,3,350.0,8250.0
cityseer,shortest_400m,0.5801660566217546,0.8393640911298559,0.7616863242974463,1.0,11.52,3,350.0,8301.0
cityseer,shortest_800m,0.5892319843858612,0.9714568402005171,0.7676144764045694,1.0,12.02,3,350.0,7955.0
cityseer,shortest_1600m,0.5846582358558221,0.9969975707836592,0.7646294761881877,1.0,12.08,3,350.0,7916.0
cityseer,shortest_3200m,0.6046454974923429,0.9951349633527896,0.7775895430703421,1.0,13.42,3,350.0,7125.0
cityseer,shortest_multi,0.5801660566217546,0.8393640911298559,0.7616863242974463,1.0,12.31,3,350.0,7768.0
madina,degree,0.0047,,0.0685,,0.5,9,280.0,191244.0
madina,btw_weighted_200,0.1554,,0.3942,,15.2,9,280.0,6291.0
madina,btw_unweighted,0.6428,,-0.8018,,14.8,9,280.0,6461.0
madina,btw_weighted_500,0.1554,,0.3942,,32.1,9,280.0,2979.0
