tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,peak_memory_mb,segments_per_sec
sdna,walk,MAD_angular_200m,0.2639296191403385,0.5137408093001165,0.45454545454545453,8.39,22,400.0,2279.0
sdna,walk,NQPDA_angular_200m,0.019857815209017395,0.1409177604456493,0.4771315640880858,8.39,22,400.0,2279.0
sdna,walk,MAD_angular_400m,0.3532900610823759,0.5943820834129978,0.6047430830039526,8.39,22,400.0,2279.0
sdna,walk,NQPDA_angular_400m,0.019132707823808312,0.13832103174791718,0.4692264257481649,8.39,22,400.0,2279.0
sdna,walk,MAD_angular_800m,0.4675535258272204,0.6837788573999785,0.45454545454545453,8.39,22,400.0,2279.0
sdna,walk,NQPDA_angular_800m,0.06368757989448802,0.2523639829581235,0.4714850367024281,8.39,22,400.0,2279.0
sdna,walk,MED_euclidean_200m,0.0015300757266333027,-0.03911618241384635,-0.014116318464144554,74.65,22,400.0,256.1
sdna,walk,NQPDE_euclidean_200m,0.060605468924406034,0.24618178024461118,0.5347261434217957,74.65,22,400.0,256.1
sdna,walk,BtE_euclidean_200m,0.005444509930949736,-0.0737869224927408,0.34961876570664707,74.65,22,400.0,256.1
sdna,walk,MCF_euclidean_200m,0.005412704375471506,-0.07357108382694598,0.05815923207227556,74.65,22,400.0,256.1
sdna,walk,DivE_euclidean_200m,,,0.12702661142169305,74.65,22,400.0,256.1
sdna,walk,MED_euclidean_400m,0.00765019266990812,0.08746537983629935,-0.08187464709203841,74.65,22,400.0,256.1
sdna,walk,NQPDE_euclidean_400m,0.09835647361025242,0.3136183566219497,0.575381140598532,74.65,22,400.0,256.1
sdna,walk,BtE_euclidean_400m,0.006106467882304744,-0.07814389216250206,0.09203839638622249,74.65,22,400.0,256.1
sdna,walk,MCF_euclidean_400m,0.02765167941978785,0.1662879412939732,-0.016374929418407683,74.65,22,400.0,256.1
sdna,walk,DivE_euclidean_400m,,,0.07794885428028722,74.65,22,400.0,256.1
sdna,walk,MED_euclidean_800m,0.0013861124820246547,0.03723053158396552,-0.29757199322416716,74.65,22,400.0,256.1
sdna,walk,NQPDE_euclidean_800m,0.24118633794949687,0.4911072570727264,0.5584415584415585,74.65,22,400.0,256.1
sdna,walk,BtE_euclidean_800m,0.003976284637567613,-0.06305778808020161,0.11462450592885377,74.65,22,400.0,256.1
sdna,walk,MCF_euclidean_800m,0.020337664389274354,0.14261018332950273,-0.08865047995482779,74.65,22,400.0,256.1
sdna,walk,DivE_euclidean_800m,,,-0.0006550323889099768,74.65,22,400.0,256.1
