tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec
aequilibrae,drive,aon,0.08270655145111881,0.28758746747923286,0.2849912356993454,0.21,187,187,375.7,311252.1
aequilibrae,drive,ue_bfw,0.09640060132851347,0.3104844622980568,0.3341205947694833,1.42,187,187,436.3,45088.3
aequilibrae,drive,ue_fw,0.0916199670814718,0.30268790375809845,0.3231549356247283,0.94,187,187,436.5,67811.1
aequilibrae,drive,ue_msa,0.08941925736142571,0.2990305291461487,0.3324040996096255,0.88,187,187,443.7,72900.4
aequilibrae,drive,ue_bfw_tight,0.08681405594963824,0.29464225078837264,0.3244998968317558,4.14,187,187,443.7,15461.3
aequilibrae,drive,ue_bfw_a05,0.08857508764606979,0.2976156710357669,0.33647416830226284,1.5,187,187,478.9,42718.4
aequilibrae,drive,ue_bfw_iter100,0.08508492530771816,0.2916932040821624,0.32176037200533497,6.76,187,187,479.4,9456.6
aequilibrae,drive,ue_bfw_cap05,0.0663099878884525,0.2575072579335436,0.3028217278918739,2.81,187,187,518.5,22782.0
aequilibrae,drive,ue_bfw_cap2,0.09367462315037992,0.306063103216281,0.31933055769441826,2.72,187,187,518.5,23538.8
aequilibrae,drive,ue_bfw_bpr_a0.15_b1,0.07966120446496433,0.28224316548849215,0.28097725252394873,1.91,187,187,517.2,33554.4
aequilibrae,drive,ue_bfw_bpr_a0.3_b2,0.0818270645260063,0.2860543034565401,0.3075386348902124,2.84,187,187,517.2,22528.4
aequilibrae,drive,ue_bfw_bpr_a0.1_b6,0.09256905748635882,0.30425163514163533,0.32617860689815725,3.05,187,187,517.2,20987.4
aequilibrae,drive,ue_bfw_d10,0.09121888156754202,0.30202463735189217,0.28018239867283745,1.21,187,187,517.2,52668.8
aequilibrae,drive,route_choice_lp,0.08628498780028741,0.2937430642590347,0.2996695021173867,2.52,187,187,582.4,25353.7
aequilibrae,drive,route_choice_lp10,0.08833024976919822,0.2972040540928038,0.2996308116151438,5.25,187,187,628.3,12171.8
