geo_code1,geo_code2,all
Z1545_14089,Z1542_14088,2683.886375427246
Z1545_14089,Z1542_14089,447.314395904541
Z1545_14089,Z1542_14091,5367.772750854492
Z1545_14089,Z1542_14093,5367.772750854492
Z1545_14089,Z1543_14094,26838.86375427246
Z1545_14089,Z1543_14099,447.314395904541
Z1545_14089,Z1543_14100,1789.257583618164
Z1545_14089,Z1543_14101,2683.886375427246
Z1545_14089,Z1543_14102,5367.772750854492
Z1545_14089,Z1544_14087,2683.886375427246
Z1545_14089,Z1544_14089,3131.200771331787
Z1545_14089,Z1544_14091,1789.257583618164
Z1545_14089,Z1544_14092,5367.772750854492
Z1545_14089,Z1544_14093,447.314395904541
Z1545_14089,Z1544_14094,22365.71979522705
Z1545_14089,Z1544_14099,1789.257583618164
Z1545_14089,Z1544_14100,447.314395904541
Z1545_14089,Z1544_14101,9393.602313995361
Z1545_14089,Z1544_14102,1789.257583618164
Z1545_14089,Z1545_14088,2683.886375427246
Z1545_14089,Z1545_14093,447.314395904541
Z1545_14089,Z1545_14094,1789.257583618164
Z1545_14089,Z1545_14095,4473.14395904541
Z1545_14089,Z1545_14099,1341.943187713623
Z1545_14089,Z1545_14101,447.314395904541
Z1545_14089,Z1546_14089,6709.715938568115
Z1545_14089,Z1546_14090,447.314395904541
Z1545_14089,Z1546_14091,2683.886375427246
Z1545_14089,Z1546_14092,1341.943187713623
Z1545_14089,Z1546_14093,4473.14395904541
Z1545_14089,Z1546_14094,2683.886375427246
Z1545_14089,Z1546_14095,10735.545501708984
Z1545_14089,Z1546_14096,3578.515167236328
Z1545_14089,Z1547_14087,1789.257583618164
Z1545_14089,Z1547_14089,4025.829563140869
Z1545_14089,Z1547_14091,24602.291774749756
Z1545_14089,Z1547_14092,5815.087146759033
Z1545_14089,Z1547_14093,11182.859897613525
Z1545_14089,Z1547_14094,12524.803085327148
Z1545_14089,Z1547_14095,6709.715938568115
Z1545_14089,Z1547_14097,447.314395904541
Z1545_14089,Z1548_14087,1341.943187713623
Z1545_14089,Z1548_14089,4473.14395904541
Z1545_14089,Z1548_14091,2236.571979522705
Z1545_14089,Z1548_14092,231708.85707855225
Z1545_14089,Z1548_14093,35337.83727645874
Z1545_14089,Z1548_14094,53677.72750854492
Z1545_14089,Z1548_14095,12972.11748123169
Z1545_14089,Z1548_14096,1789.257583618164
Z1545_14089,Z1548_14098,4920.458354949951
Z1545_14089,Z1548_14101,1789.257583618164
Z1545_14089,Z1549_14088,1789.257583618164
Z1545_14089,Z1549_14092,25944.23496246338
Z1545_14089,Z1549_14093,66202.53059387207
Z1545_14089,Z1549_14094,77385.3904914856
Z1545_14089,Z1549_14095,27286.178150177002
Z1545_14089,Z1549_14096,4025.829563140869
Z1545_14089,Z1549_14097,6709.715938568115
Z1545_14089,Z1549_14101,2683.886375427246
Z1545_14089,Z1550_14088,447.314395904541
Z1545_14089,Z1550_14090,1789.257583618164
Z1545_14089,Z1550_14091,3578.515167236328
Z1545_14089,Z1550_14092,13419.43187713623
Z1545_14089,Z1550_14093,67991.78817749023
Z1545_14089,Z1550_14094,33995.89408874512
Z1545_14089,Z1550_14095,14761.375064849854
Z1545_14089,Z1550_14097,894.628791809082
Z1545_14089,Z1550_14099,1341.943187713623
Z1545_14089,Z1550_14100,447.314395904541
Z1545_14089,Z1550_14102,447.314395904541
Z1545_14089,Z1551_14086,2683.886375427246
Z1545_14089,Z1551_14090,2683.886375427246
Z1545_14089,Z1551_14092,894.628791809082
Z1545_14089,Z1551_14094,8498.97352218628
Z1545_14089,Z1551_14095,19234.519023895264
Z1545_14089,Z1552_14088,1789.257583618164
Z1545_14089,Z1552_14092,3131.200771331787
Z1545_14089,Z1552_14094,2683.886375427246
Z1545_14089,Z1552_14095,8946.28791809082
Z1545_14089,Z1552_14096,5815.087146759033
Z1545_14089,Z1552_14101,447.314395904541
Z1545_14089,Z1552_14102,447.314395904541
Z1545_14089,Z1553_14086,1789.257583618164
Z1545_14089,Z1553_14092,3578.515167236328
Z1545_14089,Z1553_14093,2236.571979522705
Z1545_14089,Z1553_14096,8946.28791809082
Z1545_14089,Z1554_14094,1789.257583618164
Z1545_14089,Z1554_14095,447.314395904541
Z1545_14089,Z1554_14097,1341.943187713623
Z1545_14089,Z1554_14098,2236.571979522705
Z1545_14089,Z1554_14099,447.314395904541
Z1545_14089,Z1554_14100,2236.571979522705
Z1545_14089,Z1555_14090,1789.257583618164
Z1545_14089,Z1555_14091,447.314395904541
Z1545_14089,Z1555_14093,447.314395904541
Z1545_14089,Z1555_14095,1789.257583618164
Z1545_14089,Z1555_14096,447.314395904541
Z1545_14089,Z1555_14097,1789.257583618164
Z1545_14090,Z1542_14088,2123.7003564834595
Z1545_14090,Z1542_14089,353.9500594139099
Z1545_14090,Z1542_14091,4247.400712966919
Z1545_14090,Z1542_14093,4247.400712966919
Z1545_14090,Z1543_14094,21237.003564834595
Z1545_14090,Z1543_14099,353.9500594139099
Z1545_14090,Z1543_14100,1415.8002376556396
Z1545_14090,Z1543_14101,2123.7003564834595
Z1545_14090,Z1543_14102,4247.400712966919
Z1545_14090,Z1544_14087,2123.7003564834595
Z1545_14090,Z1544_14089,2477.6504158973694
Z1545_14090,Z1544_14091,1415.8002376556396
Z1545_14090,Z1544_14092,4247.400712966919
Z1545_14090,Z1544_14093,353.9500594139099
Z1545_14090,Z1544_14094,17697.502970695496
Z1545_14090,Z1544_14099,1415.8002376556396
Z1545_14090,Z1544_14100,353.9500594139099
Z1545_14090,Z1544_14101,7432.951247692108
Z1545_14090,Z1544_14102,1415.8002376556396
Z1545_14090,Z1545_14088,2123.7003564834595
Z1545_14090,Z1545_14093,353.9500594139099
Z1545_14090,Z1545_14094,1415.8002376556396
Z1545_14090,Z1545_14095,3539.500594139099
Z1545_14090,Z1545_14099,1061.8501782417297
Z1545_14090,Z1545_14101,353.9500594139099
Z1545_14090,Z1546_14089,5309.250891208649
Z1545_14090,Z1546_14090,353.9500594139099
Z1545_14090,Z1546_14091,2123.7003564834595
Z1545_14090,Z1546_14092,1061.8501782417297
Z1545_14090,Z1546_14093,3539.500594139099
Z1545_14090,Z1546_14094,2123.7003564834595
Z1545_14090,Z1546_14095,8494.801425933838
Z1545_14090,Z1546_14096,2831.6004753112793
Z1545_14090,Z1547_14087,1415.8002376556396
Z1545_14090,Z1547_14089,3185.550534725189
Z1545_14090,Z1547_14091,19467.253267765045
Z1545_14090,Z1547_14092,4601.350772380829
Z1545_14090,Z1547_14093,8848.751485347748
Z1545_14090,Z1547_14094,9910.601663589478
Z1545_14090,Z1547_14095,5309.250891208649
Z1545_14090,Z1547_14097,353.9500594139099
Z1545_14090,Z1548_14087,1061.8501782417297
Z1545_14090,Z1548_14089,3539.500594139099
Z1545_14090,Z1548_14091,1769.7502970695496
Z1545_14090,Z1548_14092,183346.13077640533
Z1545_14090,Z1548_14093,27962.054693698883
Z1545_14090,Z1548_14094,42474.00712966919
Z1545_14090,Z1548_14095,10264.551723003387
Z1545_14090,Z1548_14096,1415.8002376556396
Z1545_14090,Z1548_14098,3893.450653553009
Z1545_14090,Z1548_14101,1415.8002376556396
Z1545_14090,Z1549_14088,1415.8002376556396
Z1545_14090,Z1549_14092,20529.103446006775
Z1545_14090,Z1549_14093,52384.60879325867
Z1545_14090,Z1549_14094,61233.360278606415
Z1545_14090,Z1549_14095,21590.953624248505
Z1545_14090,Z1549_14096,3185.550534725189
Z1545_14090,Z1549_14097,5309.250891208649
Z1545_14090,Z1549_14101,2123.7003564834595
Z1545_14090,Z1550_14088,353.9500594139099
Z1545_14090,Z1550_14090,1415.8002376556396
Z1545_14090,Z1550_14091,2831.6004753112793
Z1545_14090,Z1550_14092,10618.501782417297
Z1545_14090,Z1550_14093,53800.40903091431
Z1545_14090,Z1550_14094,26900.204515457153
Z1545_14090,Z1550_14095,11680.351960659027
Z1545_14090,Z1550_14097,707.9001188278198
Z1545_14090,Z1550_14099,1061.8501782417297
Z1545_14090,Z1550_14100,353.9500594139099
Z1545_14090,Z1550_14102,353.9500594139099
Z1545_14090,Z1551_14086,2123.7003564834595
Z1545_14090,Z1551_14090,2123.7003564834595
Z1545_14090,Z1551_14092,707.9001188278198
Z1545_14090,Z1551_14094,6725.051128864288
Z1545_14090,Z1551_14095,15219.852554798126
Z1545_14090,Z1552_14088,1415.8002376556396
Z1545_14090,Z1552_14092,2477.6504158973694
Z1545_14090,Z1552_14094,2123.7003564834595
Z1545_14090,Z1552_14095,7079.001188278198
Z1545_14090,Z1552_14096,4601.350772380829
Z1545_14090,Z1552_14101,353.9500594139099
Z1545_14090,Z1552_14102,353.9500594139099
Z1545_14090,Z1553_14086,1415.8002376556396
Z1545_14090,Z1553_14092,2831.6004753112793
Z1545_14090,Z1553_14093,1769.7502970695496
Z1545_14090,Z1553_14096,7079.001188278198
Z1545_14090,Z1554_14094,1415.8002376556396
Z1545_14090,Z1554_14095,353.9500594139099
Z1545_14090,Z1554_14097,1061.8501782417297
Z1545_14090,Z1554_14098,1769.7502970695496
Z1545_14090,Z1554_14099,353.9500594139099
Z1545_14090,Z1554_14100,1769.7502970695496
Z1545_14090,Z1555_14090,1415.8002376556396
Z1545_14090,Z1555_14091,353.9500594139099
Z1545_14090,Z1555_14093,353.9500594139099
Z1545_14090,Z1555_14095,1415.8002376556396
Z1545_14090,Z1555_14096,353.9500594139099
Z1545_14090,Z1555_14097,1415.8002376556396
Z1545_14091,Z1542_14088,2885.1168823242188
